"Číslo projektu","Soutěž","Komise","Navrhovatel","Uchazeč","Fakulta","Abstrakt","Klíčová slova","Trvání","Dotace","Způsobilé","Název"
"20-27994S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","prof. RNDr. Tomáš Opatrný, Dr.","Univerzita Palackého v Olomouci","Přírodovědecká fakulta","Projekt se zaměřuje na rozvoj teoretických předpovědí týkajících se procesů v souborech ultrachladných atomů, které by byly vhodné pro zpracování kvantové informace a kvantovou metrologii. Hlavní motivací je nalézt metody pro kvantové počítání a simulaci kvantových procesů se spojitými proměnnými pomocí atomárních spinů a pohybových stupňů volnosti. Zvolenou fyzikální platformou jsou zde ultrachladné atomy držené pomocí různých pastí jako např. v optických mřížkách a interagujících s laserovým světlem v rezonátorech. Detailně bude studována role informace a termodynamických veličin jako tepla a práce v těchto procesech. Předpokládá se pokračující spolupráce se skupinami v Aarhusu (Dánsko), Kutztownu (USA) a na Weizmannově institutu (Izrael). Očekávaný dopad je v oblastech zpracování kvantové informace, kvantové metrologie a kvantové termodynamiky.","ultrachladné; atomy; kvantová; informace; metrologie; termodynamika; spin",3,"4894","5287","Manipulace s kvantovou informací a termodynamické procesy s ultrachladnými atomy"
"20-11164L","Lead Agency - 2020","kontrola","Ing. Radek Cibulka, Ph.D.","Západočeská univerzita v Plzni","Fakulta aplikovaných věd","Matematické modely často obsahují mnohoznačná zobrazení, např. zobrazení, které popisuje závislost ekonomického ekvilibria na vnějších vlivech. Základní otázkou je, zda malé změny vnějších vlivů mohou způsobit dramatické změny v řešeních. Negativní odpověď na tuto otázku znamená určitý typ regularity příslušného zobrazení. Při numerickém řešení úlohy musíme použít vhodnou přibližnou (iterační) metodu, což je spojeno s následujícími otázkami regularity: Je zaručeno, že numerická metoda poskytne řešení, které leží blízko (nějakého) přesného řešení? Můžeme každé řešení aproximovat nějakým numericky získaným řešením? Zaměříme se na směrovou regularitu, semiregularitu a subregularitu, které vyjadřují citlivost řešení vzhledem ke změnám vnějších parametrů v určitých “směrech”. Globální verze regularity zaručuje “spojitou” závislost řešení na obecně velkých vnějších poruchách. Pokusíme se odhadnout tzv. “poloměr regularity”, který určuje stabilitu příslušné vlastnosti regularity. Prozkoumáme dopady těchto vlastností pro konvergenci různých numerických algoritmů v úlohách optimálního řízení.","směrová regularita;směrová subregularita; směrová semiregularita; optimální řízení;Newtonova metoda;path-following metody;",3,"2494","2494","Regularita zobrazení a aplikace"
"20-09368S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","doc. PhDr. Martin Zlatohlávek, Ph.D.,Drs.","Univerzita Karlova","Katolická teologická fakulta","Výzkum a zhodnocení originality italských kreseb konce 15. a 16. století z veřejných sbírek České republiky. Popsání těchto kreseb, jejich autorské určení, případně zařazení do některé z lokálních škol a datace úzce souvisejí se zkoumáním nejen jejich techniky, stylu a funkce, ale i kontextu, v němž tato díla na papíře vznikala.","Italská kresba;vrcholná renesance;manýrismus;technika;funkce;styl;znalectví",3,"2842","2842","Technika, funkce, styl a kontext italské kresby vrcholné renesance a manýrismu"
"20-09692S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","RNDr. Petra Špačková, Ph.D.","Univerzita Karlova","Přírodovědecká fakulta","Poválečná sídliště představují podstatnou část bytového fondu v postsocialistických zemích a jejich vývoj v posledních desetiletích je často diskutovaným tématem. Přes řadu provedených dílčích studií stále chybí výzkum, který by ke studiu sídlišť přistupoval systematicky a komplexně v jedné zemi či regionu. Ambicí předkládaného interdisciplinárního projektu je přinést nové empirické poznatky o sídlištích v České republice s využitím přístupů komparativního výzkumu a kombinace kvantitativních a kvalitativních výzkumných metod. Projekt si klade tři vzájemně provázané hlavní cíle: (1) identifikovat typy vývojových trajektorií sídlišť v českých městech; (2) posoudit úroveň rezidenční spokojenosti jejich obyvatel a jejich postoje ke stěhování z místa jejich současného bydliště; (3) porozumět každodennímu životu v dnešních sídlištích, přináležitosti obyvatel k sídlištím a jejich vztahu k materiálnímu a sociálnímu prostředí. Výsledky výzkumu budou sloužit rovněž k rozvoji teorie ve studiích měst a jsou důležité také pro navrhování vhodných intervencí v prostoru sídlišť.","sídliště;rezidenční spokojenost;rezidenční mobilita;kvalita obytného prostředí;každodenní život;přináležitost k místu",3,"8085","8085","Historie a budoucnost sídlišť: kvalita obytného prostředí a rezidenční spokojenost"
"20-00477S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Ing. Kristýna Slámová, Ph.D.","Mikrobiologický ústav AV ČR, v.v.i.",,"Bylo prokázáno, že chitooligosacharidy (COS) vyvolávají imunitní reakci v plodinách, což činí tyto sloučeniny významnými v moderním ekologickém zemědělství. Produkce COS s definovaným stupněm polymerace (DP 6 - 9) však stále zůstává výzvou. Tento projekt je zaměřen na místně řízenou mutagenezi dvou funkčně příbuzných enzymů, chitinasy z Talaromyces flavus (TfChit) a beta-N-acetylhexosaminidasy z Aspergillus oryzae (AoHex) s cílem zvýšit jejich syntetické schopnosti. Vytvořená knihovna mutantních glykosidas bude použita při syntéze přírodních a modifikovaných chitooligomerů s definovaným stupněm polymerace, které mohou být využity v ochraně potravinářských plodin před houbovými patogeny.","antimikrobiální látky;enzymová syntéza;chitooligosacharidy;proteinové inženýrství;transglykosidasa.",3,"6713","6713","Fungální transglykosidasy pro přípravu antimikrobiálních chitooligosacharidů využitelných pro ochranu potravinářských plodin"
"20-00215S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","RNDr. Pavla Bojarová, Ph.D.","Mikrobiologický ústav AV ČR, v.v.i.",,"Nízkomolekulární nestravitelné oligosacharidy obsahující galaktosu - složky mateřského a částečně i kravského mléka - procházejí netknuté do tenkého střeva a jsou částečně resorbovány do krevního oběhu. Hromadí se důkazy o jejich významu v ochraně proti diabetu, srdečním a infekčním onemocněním, v nichž jsou společným jmenovatelem galektiny. Nestravitelné sacharidy bohaté na galaktosu jsou proto atraktivní přírodní alternativou syntetických anti-galektinových činidel. Cílem projektu je příprava oligosacharidů obsahujících galaktosu, které se přirozeně vyskytují v mateřském mléce, s funkcionalizací na C-1 pro konjugaci na multivalentní kalixarenový nosič. Sekvenční enzymová syntéza bude realizována za použití regioselektivních robustních rekombinantních glykosidas. Jejich syntetický potenciál bude zvýšen cílenou mutagenezí. Bude studována afinita připravených látek k vybraným galektinům spojeným s trávicím traktem. Budou tak zhodnoceny potenciální zdravotní přínosy těchto látek na molekulární úrovni.","mateřské mléko;galektin;výživa;glykosidasa;glykokonjugát;oligosacharid;enzymová syntéza;",3,"5873","5873","Neutrální oligosacharidy z mateřského mléka jako ligandy pro galektiny"
"20-19382S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Mgr. Sandra Bergmannová, Ph.D.","Národní muzeum",,"Třetí fáze projektu (2020-2022) souborného kritického vydání korespondence Bedřicha Smetany zpřístupní ve třetím knižním svazku v chronologickém sledu veškerou jeho korespondenci (odeslanou i přijatou) z let 1875-1879 v originálních jazycích. Korespondence bude vydána podle současných mezinárodně uznávaných edičních zásad s podrobnými komentáři včetně kritického aparátu, bibliografie a rejstříku osob, uměleckých děl, institucí, periodik a míst. Obsáhne nejen korespondenci dochovanou v autografech, fotokopiích, opisech a tiscích, ale také informace o dopisech dnes nezvěstných, získané rešeršemi dalších pramenů, dochované korespondence a literatury. Edici budou doprovázet úvodní studie (paralelně v češtině, angličtině a němčině) k příslušné etapě Smetanova života a tvorby, ediční zásady, seznam zkratek a obrazové přílohy. Projekt bude dokončen v dalších letech vydáním dalších dvou svazků obsahujících zbytek Smetanovy korespondence.","Smetana; Bedřich; 1824-1884;dějiny hudby;skladatel;Čechy;19. století;korespondence;souborná kritická edice",3,"4812","4812","Bedřich Smetana: Korespondence, III (1875-1879). Kritická edice"
"20-06134S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","RNDr. Jiří Kvaček, CSc.","Národní muzeum",,"Hlavní cíl projektu je určit palaofyziologické a paleoekologické podmínky prvních angiosperm a umístit je do kontextu paleoprostředí, ve kterém rostly. Projekt se zaměří na paleofloristické a palynologické studie flór aptu až cenomanu ve dvou oblastech Evropy. V každé z oblastí budou vybrány opěrné profily. Vedle standardní aplikace morfologických, anatomických a palynologických analýz bude projekt zaměřen na detailní výzkum klíčových ekofyziologických znaků, které mohou být z fosilních rostlin získány. Pomocí analýz δ13C z n-alkenů získaných z rostlinné kutikuly bude možné určit rostliny, které trpěly nedostatkem vody způsobeným suchem nebo salinitou. V kombinaci se zjištěním vodivosti průduchů a hustoty žilek bude možné odhadnout jejich fyziologický výkon. Získaná data v kombinaci s paleoklimatickou analýzou nám pomohou určit rostlinná společenstva. Naše data tak poslouží k tomu, aby bylo možné lépe pochopit mechanismus rozvoje angiosperm během aptu až cenomanu a uvedou jejich evoluční expanzi v Evropě v kontextu paleoprostředí.","křída; angiospermy; gymnospermy; paleoekologie; stabilní izotopy uhlíku",3,"8456","8456","Paleoprostředí prvních angiosperm během střední křídy, případová studie na materiálu z Iberského poloostrova a střední Evropy"
"20-11091S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","PhDr. Julie Chytilová, Ph.D.","Národohospodářský ústav AV ČR, v.v.i.",,"Prosociální a antisociální preference jsou důležitou ingrediencí sociálního a ekonomického chování. Je proto důležité rozumět tomu, jak veřejné politiky zaměřené na rozvoj lidského kapitálu v dětství tyto preference ovlivňují, obzvláště v rozvíjejících se ekonomikách. V tomto projektu plánujeme integrovat inovativní, experimentálně zvalidovaný modul dotazníkového šetření, zacílený na měření prosociálního a antisociálního chování a diskriminace, do etablovaného a rozsáhlého panelového šetření v Keni (Kenya Life Panel Survey – KLPS). Tento dataset byl vyvinut pro měření dlouhodobých dopadů důležité intervence mezi dětmi zaměřené na zlepšení zdraví, pomocí sledování účastníků do jejich dospělosti. Hlavní výzkumné otázky jsou: Jaké jsou dlouhodobé dopady exogenní investice do zdraví a vzdělání na: (i) upřednostňování vlastní skupiny, (ii) nesnášenlivost k jiným skupinám, (iii) ochotu porušovat sociální normy a podvádět pro vlastní prospěch? Jak se tyto dopady liší pro různé pod-vzorky (například podle pohlaví či socio-ekonomického statusu)?","prosociální chování;antisociální chování;diskriminace;podvádění;ekonomický experiment;lidský kapitál",3,"7643","7643","Determinanty prosociálního a antisociálního chování: poznatky z terénních ekonomických experimentů"
"20-28732S","Standardní projekty – 2020","Oborová komise technických věd","doc. Ing. Petr Humpolíček, Ph.D.","Univerzita Tomáše Bati ve Zlíně","Univerzitní institut","Koloidní systémy se uplatňují v celé řadě oblastí. Stále se zvyšující užití těchto systémů však generuje otázky týkající se jejich bezpečnosti. Předkládaný projekt se proto zaměřuje na studium vztahů mezi postupem přípravy, materiálovými vlastnostmi, chemickým složením koloidů a jejich biologickými vlastnostmi stanovenými pokročilými metodami. Zároveň se soustřeďuje na studium vlivu simulovaných fyziologických podmínek na tyto systémy. Projekt bude využívat pokročilé, state-of-the-art metody, a to jak v oblasti přípravy, tak především v oblasti biologického testování studovaných materiálů. Novost tohoto mezioborového projektu spočívá především v propojení pokročilých metod biologického testování  spoužitím přesně definovaných a fyzikálně-chemicky charakterizovaných koloidních systémů. Důraz bude kladen na materiály s potenciálem v topických a kosmetických přípravcích.","Pickeringovy emulze;Koloidy na bázi polymerů;Biokompatibilita;",3,"4996","4996","Koloidní systémy pro topické formulace. Pickeringovy emulze a koloidy na bázi polymerů."
"20-22037S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Mgr. Eugenie Nepovimová, Ph.D.","Univerzita Hradec Králové","Přírodovědecká fakulta","Stárnutí je komplexní proces. Pouhým zpomalením nástupu jednotlivých pro stáří-specifických
symptomů nemůžeme docílit zpomalení procesu stárnutí jako takového. V nedávné době bylo
zjištěno, že makrocyklický lakton - rapamycin zpomaluje stárnutí. Mechanizmus účinku
rapamycinu je založen na jeho inhibičním účinku vůči mTOR kinase. Nicméně i toto léčivo má
svou stinnou stránku v podobě diabetes-připomínajících nežádoucích účinků (jsou dané
rapamycinovou nespecifitou vůči mTOR komplexům) a neprůchodnost přes
hematoencefalickou bariéru. Proto navrhujeme design, syntézu, in vitro a in vivo testování
nových mTOR inhibitorů postrádající výše-uvedené negativní účinky. Doufáme, že v případě, že
uspějeme, budeme moci představit novou kandidátní molekulu zpomalující proces stárnutí.","senolytika;gerosuppressanty;mTOR;stárnutí;rapamycin",3,"11582","11582","Terapeutický potenciál nových inhibitorů mTOR v procesu stárnutí."
"20-12289S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Ing. Miroslav Lísa, Ph.D.","Univerzita Hradec Králové","Přírodovědecká fakulta","Metabolity jsou dnes intenzivně studovány jako potenciální biomarkery závažných onemocnění. Omická analýza představuje náročný úkol pro analytické chemiky, protože biologické vzorky jsou velmi složité směsi látek, které se výrazně liší svoji strukturou a vlastnostmi. Z tohoto důvodu jsou hledány nové účinné a vysokokapacitní metody pro analýzu velkých soborů vzorků v klinických studiích. V tomto projektu bude studováno spojení superkritické fluidní chromatografie a hmotnostní spektrometrie (SFC/MS) jako nový nástroj pro detailní profilování lipidomu a polárnějších metabolitů v biologických vzorcích. Budou zhodnoceny výhody a omezení SFC/MS pro omickou analýzu na základě podrobné studie retenčního a ionizačního chování celkových metabolických extraktů, tříd a izomerů. Obecné závěry budou použity pro vývoj kvantitativních SFC/MS metod, které budou aplikovány na metabolickou studii animálního modelu schizofrenie. Získané výsledky budou v budoucnu využitelné pro sledování změn lipidů a metabolitů v klinickém výzkumu.","superkritická fluidní chromatografie;kapalinová chromatografie;hmotnostní spektrometrie;lipidomika;lipidomická analýza;metabolomika;metabolomická analýza",3,"4440","4440","Spojení superkritické fluidní chromatografie a hmotnostní spektrometrie jako nový nástroj pro charakterizaci lipidů a polárních metabolitů"
"20-19018Y","Juniorské projekty – 2020","Oborová komise věd o neživé přírodě","Mgr. Daniel Campbell, Ph.D.","Univerzita Hradec Králové","Přírodovědecká fakulta","Zkoumáme třídy zobrazení representujících možné modely deformací v mechanice kontinua. Otázka, jak aproximovat deformace hladkým připustným zobrazením, je složitá a má podstatný význam s hlubokými důsledky jak v teoretické rovině tak v i numerických modelech a přirozeně vyvstává v souvislosti s variačními modely nelineární elasticity. Předmětem zájmu je uzávěr třídy zobrazení modelujících deformace v daném prostoru, tím se otevírá řada obtížných otázek o chování kandidátů. Projekt usiluje o důležité výsledky díky zapojení expertů z různých oblastí.

Isoperimetrické problémy jsou bouřlivě se rozvíjejícím oborem výzkumu v současné matematice. Tyto nerovnosti se používají v modelech mnoha fyzikálních jevů, jako například proudění tekutin, chování membrán či v subjaderné fyzice. Stejně jako u mnoha jiných případů ve variačním počtu, vše se začíná otázkou existence minimizérů, a pokud existují, jak je můžeme charakterizovat. Navzdory úsilí mnoha významných matematiků, mnoho těchto otázek zůstalo jen částečně vyřešeno.","variační modely;nelineární elasticita;isoperimetrické nerovnosti",3,"6625","6625","Jemné analytické a topologické metody pro variační problémy a modelování"
